{{4, 0.5}, {5, 0.5}, {6, 0.416667}, {7, 0.416667}, {8, 0.319444}, {9,
0.222222}, {10, 0.266667}, {11, 0.30303}, {12, 0.25}, {13,
0.288462}, {14, 0.281746}, {15, 0.238889}, {16, 0.201389}, {18, 0.145833}, {20, 0.173843}, {21, 0.152447},
{23, 0.16405}, {25, 0.154907}, {27, 0.115741}, {30, 0.12037},
{32, 0.104167}, {35, 0.115608}, {39, 0.107817}, {42, 0.100033},
{46, 0.0893967}, {50, 0.0867363}, {54, 0.0659726}, {59, 0.0744668},
{64, 0.0520837}, {70, 0.062682}, {77, 0.0633115}, {83, 0.0577312},
{91, 0.0537767}, {99, 0.0468055}, {108, 0.0435959}, {118, 0.0456607},
{128, 0.0366518}, {140, 0.0368618}, {153, 0.0345546}, {166, 0.0343193},
{182, 0.0360932}, {198, 0.0286017}, {216, 0.0234376}, {235, 0.025857},
{256, 0.01876}, {280, 0.0197593}, {305, 0.0212157}, {332, 0.0198954},
{363, 0.0210892}, {395, 0.0176294}, {431, 0.0147806}, {470, 0.0141489},
{512, 0.0113251}, {559, 0.0126587}, {609, 0.0104757}, {664, 0.0107349},
{725, 0.0104316}, {790, 0.00927977}, {862, 0.00874465}, {940, 0.00784544},
{1024, 0.00683606}, {1117, 0.00776341}, {1218, 0.00545398},
{1328, 0.00641308}, {1449, 0.00517443}, {1580, 0.00564848},
{1723, 0.00472082}, {1879, 0.00498623}, {2048, 0.00367115},
{2234, 0.00376467}, {2436, 0.00312396}, {2656, 0.00287177},
{2897, 0.00313452}, {3159, 0.00288578}, {3445, 0.00286523},
{3757, 0.00259474}, {4096, 0.00186325}, {4467, 0.00226267},
{4871, 0.00188436}, {5312, 0.00177759}, {5793, 0.00160862},
{6317, 0.00144341}, {6889, 0.00135113}, {7513, 0.00139102},
{8192, 0.00100929}, {8934, 0.00122849}, {9742, 0.00118564},
{10624, 0.000984408}, {11586, 0.000911207}, {12634, 0.000821416},
{13778, 0.000790556}, {15025, 0.000805155}, {16384, 0.00060479},
{17867, 0.000707032}, {19484, 0.000535371}, {21248, 0.00056644},
{23171, 0.000519442}, {25268, 0.000501624}, {27555, 0.000492283},
{30049, 0.000463332}, {32768, 0.000322315}, {35734, 0.000355128},
{38968, 0.000288246}, {42495, 0.000321558}, {46341, 0.000260253},
{50536, 0.000235825}, {55109, 0.00023843}, {60097, 0.000242236},
{65536, 0.000165467}, {71468, 0.000190812}, {77936, 0.000165844},
{84990, 0.000153456}, {92682, 0.000156524}, {101071, 0.000139448},
{110218, 0.000127741}, {120194, 0.00011545}, {131072, 0.0000895647},
{142936, 0.0000988041}, {155872, 0.0000842346}, {169980, 0.0000843094},
{185364, 0.0000776017}, {202141, 0.0000838974}, {220436, 0.0000716507},
{240388, 0.0000632168}, {262144, 0.0000538457}, {285871, 0.0000582425},
{311744, 0.0000497959}, {339959, 0.000043315}, {370728, 0.0000412365},
{404282, 0.0000430598}, {440872, 0.0000430205}, {480775, 0.0000356195},
{524288, 0.0000246759}, {571741, 0.0000301574}, {623488, 0.0000246936},
{679918, 0.0000239648}, {741456, 0.0000236384}, {808563, 0.0000228835},
{881744, 0.0000202835}, {961549, 0.0000177657} }
