{{16, 0.157912}, {25, 0.137432}, {36, 0.0912169}, {49, 0.0844069},
{64, 0.0804593}, {81, 0.078426}, {100, 0.0706013}, {121, 0.0584125},
{144, 0.0472011}, {169, 0.0554125}, {196, 0.0442846}, {225, 0.0322727},
{256, 0.0297792}, {289, 0.0273832}, {324, 0.0244251}, {361, 0.0245931},
{400, 0.023595}, {441, 0.0262007}, {484, 0.0212625}, {529, 0.0208267},
{576, 0.0225288}, {625, 0.0206137}, {676, 0.0167414}, {784, 0.019003},
{841, 0.0189115}, {900, 0.0136611}, {1024, 0.0111371}, {1089, 0.0125132},
{1156, 0.0129763}, {1296, 0.0122103}, {1444, 0.00903934}, {1521, 0.0109435},
{1681, 0.00819267}, {1849, 0.00840695}, {2025, 0.00860575},
{2209, 0.00726007}, {2401, 0.00786116}, {2601, 0.00649045},
{2809, 0.00628888}, {3136, 0.00577421}, {3364, 0.00577469},
{3721, 0.00536625}, {4096, 0.00464152}, {4356, 0.00454688},
{4761, 0.00464139}, {5184, 0.00444508}, {5776, 0.00391696},
{6241, 0.00351202}, {6889, 0.00359584}, {7396, 0.00353619},
{8100, 0.0034538}, {8836, 0.00305841}, {9604, 0.00269001},
{10609, 0.00281775}, {11449, 0.00252363}, {12544, 0.00226291},
{13689, 0.00224837}, {14884, 0.00228994}, {16384, 0.0019587},
{17689, 0.00187914}, {19321, 0.00168352}, {21025, 0.00184605},
{23104, 0.00178713}, {24964, 0.00145727}, {27225, 0.00139265},
{29929, 0.00135553}, {32761, 0.00115389}, {35721, 0.00121735},
{38809, 0.00110084}, {42436, 0.000940465}, {46225, 0.000854904},
{50176, 0.000923739}, {54756, 0.000823026}, {60025, 0.000763457},
{65536, 0.000720001}, {71289, 0.000691396}, {77841, 0.000609039},
{84681, 0.000636986}, {92416, 0.000504864}, {100489, 0.00054037},
{109561, 0.000508041}, {119716, 0.000512242}, {131044, 0.000492277},
{142884, 0.000436648}, {155236, 0.000410358}, {169744, 0.000354903},
{184900, 0.000367617}, {201601, 0.00041001}, {219961, 0.000327547},
{240100, 0.000301551}, {262144, 0.000303958}, {285156, 0.000257014},
{311364, 0.000231762}, {339889, 0.000241154}, {369664, 0.000215338},
{403225, 0.000198652}, {439569, 0.000195579}, {480249, 0.000190936},
{524176, 0.000163622}, {571536, 0.000162185}, {622521, 0.000137277},
{678976, 0.000141704}, {741321, 0.000138676}, {808201, 0.000121713},
{881721, 0.000117879}, {960400, 0.000118654} }
